[2025-01-26T21:23:43.904+0000] {local_task_job_runner.py:123} INFO - ::group::Pre task execution logs
[2025-01-26T21:23:43.921+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: csv_to_postgres.tube_to_postgres manual__2025-01-26T21:23:40.009736+00:00 [queued]>
[2025-01-26T21:23:43.930+0000] {taskinstance.py:2613} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: csv_to_postgres.tube_to_postgres manual__2025-01-26T21:23:40.009736+00:00 [queued]>
[2025-01-26T21:23:43.930+0000] {taskinstance.py:2866} INFO - Starting attempt 1 of 1
[2025-01-26T21:23:44.053+0000] {taskinstance.py:2889} INFO - Executing <Task(BashOperator): tube_to_postgres> on 2025-01-26 21:23:40.009736+00:00
[2025-01-26T21:23:44.059+0000] {warnings.py:112} WARNING - /home/***/.local/lib/python3.12/site-packages/***/task/task_runner/standard_task_runner.py:70: DeprecationWarning: This process (pid=1109) is multi-threaded, use of fork() may lead to deadlocks in the child.
  pid = os.fork()

[2025-01-26T21:23:44.061+0000] {standard_task_runner.py:72} INFO - Started process 1110 to run task
[2025-01-26T21:23:44.061+0000] {standard_task_runner.py:104} INFO - Running: ['***', 'tasks', 'run', 'csv_to_postgres', 'tube_to_postgres', 'manual__2025-01-26T21:23:40.009736+00:00', '--job-id', '204', '--raw', '--subdir', 'DAGS_FOLDER/task1.py', '--cfg-path', '/tmp/tmp6rv1hgiq']
[2025-01-26T21:23:44.062+0000] {standard_task_runner.py:105} INFO - Job 204: Subtask tube_to_postgres
[2025-01-26T21:23:44.108+0000] {task_command.py:467} INFO - Running <TaskInstance: csv_to_postgres.tube_to_postgres manual__2025-01-26T21:23:40.009736+00:00 [running]> on host 684b2a870670
[2025-01-26T21:23:44.415+0000] {taskinstance.py:3132} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='csv_to_postgres' AIRFLOW_CTX_TASK_ID='tube_to_postgres' AIRFLOW_CTX_EXECUTION_DATE='2025-01-26T21:23:40.009736+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2025-01-26T21:23:40.009736+00:00'
[2025-01-26T21:23:44.416+0000] {taskinstance.py:731} INFO - ::endgroup::
[2025-01-26T21:23:44.429+0000] {subprocess.py:78} INFO - Tmp dir root location: /tmp
[2025-01-26T21:23:44.430+0000] {subprocess.py:88} INFO - Running command: ['/usr/bin/bash', '-c', 'docker exec code-challenge-meltano-1 meltano run tap-csv-2 target-postgres']
[2025-01-26T21:23:44.442+0000] {subprocess.py:99} INFO - Output:
[2025-01-26T21:23:45.792+0000] {subprocess.py:106} INFO - [2m2025-01-26T21:23:45.790336Z[0m [[32m[1minfo     [0m] [1mEnvironment 'dev' is active   [0m
[2025-01-26T21:23:48.188+0000] {subprocess.py:106} INFO - [2m2025-01-26T21:23:48.186614Z[0m [[31m[1merror    [0m] [1mCannot start plugin tap-csv-2: Catalog discovery failed: command ['/project/.meltano/extractors/tap-csv/venv/bin/tap-csv', '--config', '/project/.meltano/run/tap-csv-2/tap.9f51909a-e61d-47e5-b7a6-e50754432aa3.config.json', '--discover'] returned 1 with stderr:
[2025-01-26T21:23:48.189+0000] {subprocess.py:106} INFO -  Traceback (most recent call last):
[2025-01-26T21:23:48.190+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/bin/tap-csv", line 8, in <module>
[2025-01-26T21:23:48.191+0000] {subprocess.py:106} INFO -     sys.exit(TapCSV.cli())
[2025-01-26T21:23:48.191+0000] {subprocess.py:106} INFO -              ^^^^^^^^^^^^
[2025-01-26T21:23:48.192+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/click/core.py", line 1161, in __call__
[2025-01-26T21:23:48.192+0000] {subprocess.py:106} INFO -     return self.main(*args, **kwargs)
[2025-01-26T21:23:48.193+0000] {subprocess.py:106} INFO -            ^^^^^^^^^^^^^^^^^^^^^^^^^^
[2025-01-26T21:23:48.193+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/click/core.py", line 1081, in main
[2025-01-26T21:23:48.194+0000] {subprocess.py:106} INFO -     with self.make_context(prog_name, args, **extra) as ctx:
[2025-01-26T21:23:48.194+0000] {subprocess.py:106} INFO -          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
[2025-01-26T21:23:48.195+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/click/core.py", line 949, in make_context
[2025-01-26T21:23:48.195+0000] {subprocess.py:106} INFO -     self.parse_args(ctx, args)
[2025-01-26T21:23:48.196+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/click/core.py", line 1417, in parse_args
[2025-01-26T21:23:48.196+0000] {subprocess.py:106} INFO -     value, args = param.handle_parse_result(ctx, opts, args)
[2025-01-26T21:23:48.197+0000] {subprocess.py:106} INFO -                   ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
[2025-01-26T21:23:48.197+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/click/core.py", line 2403, in handle_parse_result
[2025-01-26T21:23:48.198+0000] {subprocess.py:106} INFO -     value = self.process_value(ctx, value)
[2025-01-26T21:23:48.198+0000] {subprocess.py:106} INFO -             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
[2025-01-26T21:23:48.199+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/click/core.py", line 2365, in process_value
[2025-01-26T21:23:48.199+0000] {subprocess.py:106} INFO -     value = self.callback(ctx, self, value)
[2025-01-26T21:23:48.199+0000] {subprocess.py:106} INFO -             ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
[2025-01-26T21:23:48.200+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/singer_sdk/tap_base.py", line 554, in cb_discover
[2025-01-26T21:23:48.200+0000] {subprocess.py:106} INFO -     tap.run_discovery()
[2025-01-26T21:23:48.200+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/singer_sdk/tap_base.py", line 309, in run_discovery
[2025-01-26T21:23:48.201+0000] {subprocess.py:106} INFO -     catalog_text = self.catalog_json_text
[2025-01-26T21:23:48.201+0000] {subprocess.py:106} INFO -                    ^^^^^^^^^^^^^^^^^^^^^^
[2025-01-26T21:23:48.201+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/singer_sdk/tap_base.py", line 329, in catalog_json_text
[2025-01-26T21:23:48.202+0000] {subprocess.py:106} INFO -     return dump_json(self.catalog_dict, indent=2)
[2025-01-26T21:23:48.202+0000] {subprocess.py:106} INFO -                      ^^^^^^^^^^^^^^^^^
[2025-01-26T21:23:48.203+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/singer_sdk/tap_base.py", line 320, in catalog_dict
[2025-01-26T21:23:48.203+0000] {subprocess.py:106} INFO -     return t.cast("dict", self._singer_catalog.to_dict())
[2025-01-26T21:23:48.203+0000] {subprocess.py:106} INFO -                           ^^^^^^^^^^^^^^^^^^^^
[2025-01-26T21:23:48.204+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/singer_sdk/tap_base.py", line 340, in _singer_catalog
[2025-01-26T21:23:48.204+0000] {subprocess.py:106} INFO -     for stream in self.streams.values()
[2025-01-26T21:23:48.204+0000] {subprocess.py:106} INFO -                   ^^^^^^^^^^^^
[2025-01-26T21:23:48.205+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/singer_sdk/tap_base.py", line 149, in streams
[2025-01-26T21:23:48.205+0000] {subprocess.py:106} INFO -     for stream in self.load_streams():
[2025-01-26T21:23:48.205+0000] {subprocess.py:106} INFO -                   ^^^^^^^^^^^^^^^^^^^
[2025-01-26T21:23:48.206+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/singer_sdk/tap_base.py", line 373, in load_streams
[2025-01-26T21:23:48.207+0000] {subprocess.py:106} INFO -     for stream in self.discover_streams():
[2025-01-26T21:23:48.207+0000] {subprocess.py:106} INFO -                   ^^^^^^^^^^^^^^^^^^^^^^^
[2025-01-26T21:23:48.207+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/tap_csv/tap.py", line 89, in discover_streams
[2025-01-26T21:23:48.208+0000] {subprocess.py:106} INFO -     return [
[2025-01-26T21:23:48.208+0000] {subprocess.py:106} INFO -            ^
[2025-01-26T21:23:48.208+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/tap_csv/tap.py", line 90, in <listcomp>
[2025-01-26T21:23:48.209+0000] {subprocess.py:106} INFO -     CSVStream(
[2025-01-26T21:23:48.209+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/tap_csv/client.py", line 32, in __init__
[2025-01-26T21:23:48.209+0000] {subprocess.py:106} INFO -     super().__init__(*args, **kwargs)
[2025-01-26T21:23:48.210+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/singer_sdk/streams/core.py", line 182, in __init__
[2025-01-26T21:23:48.210+0000] {subprocess.py:106} INFO -     if not self.schema:
[2025-01-26T21:23:48.210+0000] {subprocess.py:106} INFO -            ^^^^^^^^^^^
[2025-01-26T21:23:48.211+0000] {subprocess.py:106} INFO -   File "/usr/local/lib/python3.11/functools.py", line 1001, in __get__
[2025-01-26T21:23:48.211+0000] {subprocess.py:106} INFO -     val = self.func(instance)
[2025-01-26T21:23:48.211+0000] {subprocess.py:106} INFO -           ^^^^^^^^^^^^^^^^^^^
[2025-01-26T21:23:48.212+0000] {subprocess.py:106} INFO -   File "/project/.meltano/extractors/tap-csv/venv/lib/python3.11/site-packages/tap_csv/client.py", line 137, in schema
[2025-01-26T21:23:48.212+0000] {subprocess.py:106} INFO -     for file_path in self.get_file_paths():
[2025-01-26T21:23:48.212+0000] {subprocess.py:106} INFO -                      ^^^^^^^^^^^^^^^^^^^^^
