order_id,customer_id,employee_id,order_date,required_date,shipped_date,ship_via,freight,ship_name,ship_address,ship_city,ship_region,ship_postal_code,ship_country,_sdc_extracted_at,_sdc_received_at,_sdc_batched_at,_sdc_deleted_at,_sdc_sequence,_sdc_table_version,_sdc_sync_started_at,product_id,unit_price,quantity,discount
10261,QUEDE,4,1996-07-19,1996-08-16,1996-07-30,2,3.05,Que Delícia,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,2025-01-28 00:00:09.344321,2025-01-28 00:00:10.651644,2025-01-28 00:00:10.644649,,1738022410652,,1738022409251,35,14.4,20,0
10946,VAFFE,1,1998-03-12,1998-04-09,1998-03-19,2,27.2,Vaffeljernet,Smagsloget 45,Århus,,8200,Denmark,2025-01-28 00:00:09.488007,2025-01-28 00:00:10.927229,2025-01-28 00:00:10.644649,,1738022410927,,1738022409251,77,13,40,0
11008,ERNSH,7,1998-04-08,1998-05-06,,3,79.46,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,2025-01-28 00:00:09.495310,2025-01-28 00:00:10.942935,2025-01-28 00:00:10.644649,,1738022410943,,1738022409251,71,21.5,21,0
10262,RATTC,8,1996-07-22,1996-08-19,1996-07-25,3,48.29,Rattlesnake Canyon Grocery,2817 Milton Dr.,Albuquerque,NM,87110,USA,2025-01-28 00:00:09.344410,2025-01-28 00:00:10.652265,2025-01-28 00:00:10.644649,,1738022410652,,1738022409251,56,30.4,2,0
10263,ERNSH,9,1996-07-23,1996-08-20,1996-07-31,3,146.06,Ernst Handel,Kirchgasse 6,Graz,,8010,Austria,2025-01-28 00:00:09.344474,2025-01-28 00:00:10.652811,2025-01-28 00:00:10.644649,,1738022410653,,1738022409251,74,8,36,0.25
10264,FOLKO,6,1996-07-24,1996-08-21,1996-08-23,3,3.67,Folk och fä HB,Åkergatan 24,Bräcke,,S-844 67,Sweden,2025-01-28 00:00:09.344540,2025-01-28 00:00:10.653210,2025-01-28 00:00:10.644649,,1738022410653,,1738022409251,41,7.7,25,0.15
10265,BLONP,2,1996-07-25,1996-08-22,1996-08-12,1,55.28,Blondel père et fils,"24, place Kléber",Strasbourg,,67000,France,2025-01-28 00:00:09.344678,2025-01-28 00:00:10.653708,2025-01-28 00:00:10.644649,,1738022410654,,1738022409251,70,12,20,0
10266,WARTH,3,1996-07-26,1996-09-06,1996-07-31,3,25.73,Wartian Herkku,Torikatu 38,Oulu,,90110,Finland,2025-01-28 00:00:09.344815,2025-01-28 00:00:10.654086,2025-01-28 00:00:10.644649,,1738022410654,,1738022409251,12,30.4,12,0.05
10267,FRANK,4,1996-07-29,1996-08-26,1996-08-06,1,208.58,Frankenversand,Berliner Platz 43,München,,80805,Germany,2025-01-28 00:00:09.344884,2025-01-28 00:00:10.654615,2025-01-28 00:00:10.644649,,1738022410655,,1738022409251,76,14.4,15,0.15
10268,GROSR,8,1996-07-30,1996-08-27,1996-08-02,3,66.29,GROSELLA-Restaurante,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,2025-01-28 00:00:09.344945,2025-01-28 00:00:10.655057,2025-01-28 00:00:10.644649,,1738022410655,,1738022409251,72,27.8,4,0
